#time	operator	index	value
4.4	Y	3	-4.53762225364663e-15
4.4	Z	3	0.432144816858236

4.5	X	1	-1.11290727709904e-16
4.5	Y	1	6.20330480638202e-16
4.5	Z	1	0.58213142709956
4.5	X	2	9.15367033440705e-16
4.5	Y	2	1.1610506677126e-15
4.5	Z	2	0.685697920051598
4.5	X	3	1.05016533571e-14
4.5	Y	3	-5.55653267120914e-15
4.5	Z	3	0.456914349604138

4.6	X	1	7.38847749095339e-16
4.6	Y	1	-7.61916891578268e-16
4.6	Z	1	0.596017361308961
4.6	X	2	1.97929003779213e-15
4.6	Y	2	9.77520643190462e-16
4.6	Z	2	0.643159602467837
4.6	X	3	7.9144953573267e-15
4.6	Y	3	-5.88936850817882e-15
4.6	Z	3	0.498255745208176

4.7	X	1	1.23229200371829e-15
4.7	Y	1	-1.99287653309925e-15
4.7	Z	1	0.608988868519164
4.7	X	2	4.02440688497658e-15
4.7	Y	2	-6.68179689353711e-16
4.7	Z	2	0.593245853658837
4.7	X	3	4.3957289864846e-15
4.7	Y	3	-4.96541496285632e-15
4.7	Z	3	0.547760741255411

4.8	X	1	1.26107459637338e-15
4.8	Y	1	-3.01084516438689e-15
4.8	Z	1	0.613685503282013
4.8	X	2	5.57566950105366e-15
4.8	Y	2	-3.80810550342554e-15
4.8	Z	2	0.552902437131225
4.8	X	3	1.26327081742699e-15
4.8	Y	3	-2.11145851612791e-15
4.8	Z	3	0.595845275973288

4.9	X	1	7.8291449959504e-16
4.9	Y	1	-3.58642940231058e-15
4.9	Z	1	0.605274330103732
4.9	X	2	5.72265481227857e-15
4.9	Y	2	-7.2700482740566e-15
4.9	Z	2	0.534943931183539
4.9	X	3	-2.84312448458593e-16
4.9	Y	3	1.03919038826447e-15
4.9	Z	3	0.634528950342697

5	X	1	4.15445817823398e-17
5	Y	1	-3.39105174910862e-15
5	Z	1	0.583136137646605
5	X	2	4.59141046215777e-15
5	Y	2	-9.51777244951191e-15
5	Z	2	0.544356416922107
5	X	3	-1.52416162927818e-16
5	Y	3	3.26385908729625e-15
5	Z	3	0.659446126004807

